mid,date,team,axis_cont,axis_event,Ctopic,Cl10,Cinterior,axis_CACS,axis_IAM,axis_Mercer,axis_Bales,axis_act4teams,axis_ISO,week
2024.11.11startup_b,20241111,startup_b,0.4069298911463638,0.9518952518733996,0.33491469594495044,0.7705123170547521,-0.20832336463860546,1.3049441807302555,0.5645811113708009,1.0856262408310653,0.7801726268559357,1.0010484204199366,0.4277574640754826,3
2024.11.18startup_b,20241118,startup_b,0.3258687689467712,0.8236936270821253,0.21749094755164353,0.3313976986720317,-0.11439586833024037,1.265221640027441,1.013213303675813,0.5170107581631421,0.5339680381865949,0.6074221688209253,0.6695776485857816,4
2024.12.02startup_b,20241202,startup_b,0.06627141366930545,0.08935038327610964,0.06366366454172057,0.12443705482997297,-0.05611561314836288,0.5290695289790082,0.16383447329525386,0.1158013041279773,0.09559710810271216,0.0018914966300094434,0.14161521912018754,5
2024.12.16startup_b,20241216,startup_b,0.25396988662073616,0.32825098600916014,0.15697102457111672,0.5159143238948762,-0.13169968993224837,0.5180325908301114,0.20136651564564753,-0.07971146027967542,0.30912469897953954,0.2350052694858617,0.2989647965847499,6
2024.12.23startup_b,20241223,startup_b,0.3114172066281506,0.5888019391445656,0.3168210889079083,0.7770722150432188,-0.1734755328713827,0.590125884514177,0.8522286195957429,0.6200189923610558,0.43509799097577345,0.3979806311741349,0.43701762979529385,7
2025.01.06startup_b,20250106,startup_b,0.21606996511573803,0.48542656991799654,0.0743034768383159,0.6503274696609765,-0.06924289251217554,0.7464905136149951,0.07136589886551732,0.6208820911596503,0.22034628299882275,0.5346939026721141,0.3951254189835489,8
2025.01.13startup_b,20250113,startup_b,0.29484993153674305,0.4619014370267782,0.29534449392905654,1.0267756433223698,-0.17133726026859025,1.0235342060258619,0.5527625043248637,0.6078491516095673,0.4461630170858815,0.21899875966976456,0.0587174529678055,9
2025.02.10startup_b,20250210,startup_b,0.339225156755309,1.0944037093291819,0.11527816923958795,0.749693966754507,-0.07277301925704924,1.9012125601125527,0.713320601743127,1.624740992478545,1.0066869657010615,0.9140559544393808,0.001885625900235338,10
2025.02.24startup_b,20250224,startup_b,0.335280577951925,0.9049758034193036,0.2971977017213729,0.6611403791446204,-0.13241624787912484,1.9701076073617503,0.5864828889148533,1.0195965344092892,1.017101651671,0.5477049465629472,0.25137593348836784,11
2025.03.17startup_b,20250317,startup_b,0.2930971522362772,0.6787120042228509,0.3804782702465953,0.45504877183221687,-0.2158055742410447,0.8868507444582961,1.0872559824425805,0.6624679832991075,0.5350552816432869,0.5427682489042592,0.6108561697388678,12
2025.03.24startup_b,20250324,startup_b,0.23024473902059703,0.5833670755724145,0.2948467486515032,0.9992630217890489,-0.1777274791798486,0.6040775684526942,0.370325263054865,0.32793350331238647,0.5028866786546878,0.629308991282271,0.4740345582089802,13
2025.03.31startup_b,20250331,startup_b,0.3320238391379925,0.5797536582060068,0.3482992209746414,0.8992690889004089,-0.11424055507947191,0.8165411335155645,0.46036153275159136,0.3576190645279014,0.4292910198623653,0.7084420871788645,0.3758183149829362,14
2025.04.07startup_b,20250407,startup_b,0.1413719211340938,0.005771972661474587,0.2119026937948109,0.9620763919349001,-0.17025381014854254,0.2502079971719818,-0.339432394495631,-0.03517349486738643,0.020915625394386406,-0.0880697202155455,0.014766654623382638,15
2025.04.14startup_b,20250414,startup_b,0.13093952251129726,0.39242440192965544,0.06047248980521451,0.5373382626118633,-0.024226575452614304,0.8430838889212386,0.46124896895995665,0.8750173554393473,0.38781917942627114,0.13102077802397516,0.2391767055678581,16
